col,row,label,height_cm
1,1,12,3cm
2,1,12,3cm
3,1,12,3cm
4,1,12,3cm
5,1,12,7cm
6,1,12,5cm
7,1,12,7cm
8,1,12,3cm
9,1,12,9cm
10,1,12,7cm
11,1,12,5cm
12,1,12,7cm
13,1,12,9cm
14,1,12,9cm
15,1,12,7cm
16,1,12,9cm
17,1,12,9cm
18,1,12,5cm
19,1,12,1cm
20,1,12,3cm
21,1,12,1cm
22,1,12,3cm
23,1,12,5cm
24,1,12,7cm
25,1,12,7cm
26,1,12,9cm
27,1,12,3cm
28,1,12,3cm
29,1,12,3cm
30,1,12,7cm
31,1,12,5cm
32,1,12,1cm
33,1,12,5cm
34,1,12,5cm
35,1,12,5cm
36,1,12,3cm
37,1,12,1cm
38,1,12,1cm
39,1,12,3cm
40,1,12,3cm
41,1,12,1cm
42,1,12,1cm
43,1,12,7cm
44,1,12,7cm
45,1,12,9cm
46,1,12,5cm
47,1,12,1cm
48,1,12,9cm
49,1,12,1cm
50,1,12,3cm
1,2,12,9cm
2,2,12,9cm
3,2,12,1cm
4,2,12,1cm
5,2,12,9cm
6,2,12,5cm
7,2,12,7cm
8,2,12,7cm
9,2,12,1cm
10,2,12,3cm
11,2,12,3cm
12,2,12,5cm
13,2,12,1cm
14,2,12,1cm
15,2,12,1cm
16,2,12,5cm
17,2,12,1cm
18,2,12,7cm
19,2,12,3cm
20,2,12,9cm
21,2,12,5cm
22,2,12,5cm
23,2,12,3cm
24,2,12,1cm
25,2,12,9cm
26,2,12,5cm
27,2,12,1cm
28,2,12,9cm
29,2,12,3cm
30,2,12,5cm
31,2,12,7cm
32,2,12,1cm
33,2,12,1cm
34,2,12,9cm
35,2,12,1cm
36,2,12,1cm
37,2,12,9cm
38,2,12,5cm
39,2,12,3cm
40,2,12,1cm
41,2,12,7cm
42,2,12,7cm
43,2,12,5cm
44,2,12,5cm
45,2,12,5cm
46,2,12,5cm
47,2,12,3cm
48,2,12,5cm
49,2,12,5cm
50,2,12,3cm
1,3,12,5cm
2,3,12,5cm
3,3,12,5cm
4,3,12,9cm
5,3,12,1cm
6,3,12,9cm
7,3,12,9cm
8,3,12,1cm
9,3,12,5cm
10,3,12,1cm
11,3,12,1cm
12,3,12,5cm
13,3,12,5cm
14,3,12,5cm
15,3,12,5cm
16,3,12,7cm
17,3,12,3cm
18,3,12,3cm
19,3,12,3cm
20,3,12,3cm
21,3,12,1cm
22,3,12,5cm
23,3,12,1cm
24,3,12,1cm
25,3,12,3cm
26,3,12,9cm
27,3,12,3cm
28,3,12,3cm
29,3,12,9cm
30,3,12,9cm
31,3,12,3cm
32,3,12,3cm
33,3,12,9cm
34,3,12,9cm
35,3,12,7cm
36,3,12,1cm
37,3,12,9cm
38,3,12,1cm
39,3,12,3cm
40,3,12,1cm
41,3,12,9cm
42,3,12,7cm
43,3,12,1cm
44,3,12,3cm
45,3,12,1cm
46,3,12,3cm
47,3,12,7cm
48,3,12,7cm
49,3,12,1cm
50,3,12,9cm
1,4,12,7cm
2,4,12,9cm
3,4,12,1cm
4,4,12,7cm
5,4,12,1cm
6,4,12,9cm
7,4,12,1cm
8,4,12,7cm
9,4,12,3cm
10,4,12,5cm
11,4,12,7cm
12,4,12,5cm
13,4,12,9cm
14,4,12,9cm
15,4,12,5cm
16,4,12,5cm
17,4,12,5cm
18,4,12,7cm
19,4,12,1cm
20,4,12,3cm
21,4,12,9cm
22,4,12,7cm
23,4,10,3cm
24,4,15,9cm
25,4,15,3cm
26,4,2,5cm
27,4,2,9cm
28,4,2,1cm
29,4,2,5cm
30,4,12,9cm
31,4,12,5cm
32,4,12,9cm
