col,row,width_m,height_m,hex_color,length_m
1,1,0.015,0.015,#080504,0.03
2,1,0.015,0.015,#080504,0.03
3,1,0.015,0.015,#080504,0.03
4,1,0.015,0.015,#080504,0.03
5,1,0.015,0.015,#080504,0.07
6,1,0.015,0.015,#080504,0.05
7,1,0.015,0.015,#080504,0.07
8,1,0.015,0.015,#080504,0.03
9,1,0.015,0.015,#080504,0.09
10,1,0.015,0.015,#080504,0.07
11,1,0.015,0.015,#080504,0.05
12,1,0.015,0.015,#080504,0.07
13,1,0.015,0.015,#080504,0.09
14,1,0.015,0.015,#080504,0.09
15,1,0.015,0.015,#080504,0.07
16,1,0.015,0.015,#080504,0.09
17,1,0.015,0.015,#080504,0.09
18,1,0.015,0.015,#080504,0.05
19,1,0.015,0.015,#080504,0.01
20,1,0.015,0.015,#080504,0.03
21,1,0.015,0.015,#080504,0.01
22,1,0.015,0.015,#080504,0.03
23,1,0.015,0.015,#080504,0.05
24,1,0.015,0.015,#080504,0.07
25,1,0.015,0.015,#080504,0.07
26,1,0.015,0.015,#080504,0.09
27,1,0.015,0.015,#080504,0.03
28,1,0.015,0.015,#080504,0.03
29,1,0.015,0.015,#080504,0.03
30,1,0.015,0.015,#080504,0.07
31,1,0.015,0.015,#080504,0.05
32,1,0.015,0.015,#080504,0.01
33,1,0.015,0.015,#080504,0.05
34,1,0.015,0.015,#080504,0.05
35,1,0.015,0.015,#080504,0.05
36,1,0.015,0.015,#080504,0.03
37,1,0.015,0.015,#080504,0.01
38,1,0.015,0.015,#080504,0.01
39,1,0.015,0.015,#080504,0.03
40,1,0.015,0.015,#080504,0.03
41,1,0.015,0.015,#080504,0.01
42,1,0.015,0.015,#080504,0.01
43,1,0.015,0.015,#080504,0.07
44,1,0.015,0.015,#080504,0.07
45,1,0.015,0.015,#080504,0.09
46,1,0.015,0.015,#080504,0.05
47,1,0.015,0.015,#080504,0.01
48,1,0.015,0.015,#080504,0.09
49,1,0.015,0.015,#080504,0.01
50,1,0.015,0.015,#080504,0.03
1,2,0.015,0.015,#080504,0.09
2,2,0.015,0.015,#080504,0.09
3,2,0.015,0.015,#080504,0.01
4,2,0.015,0.015,#080504,0.01
5,2,0.015,0.015,#080504,0.09
6,2,0.015,0.015,#080504,0.05
7,2,0.015,0.015,#080504,0.07
8,2,0.015,0.015,#080504,0.07
9,2,0.015,0.015,#080504,0.01
10,2,0.015,0.015,#080504,0.03
11,2,0.015,0.015,#080504,0.03
12,2,0.015,0.015,#080504,0.05
13,2,0.015,0.015,#080504,0.01
14,2,0.015,0.015,#080504,0.01
15,2,0.015,0.015,#080504,0.01
16,2,0.015,0.015,#080504,0.05
17,2,0.015,0.015,#080504,0.01
18,2,0.015,0.015,#080504,0.07
19,2,0.015,0.015,#080504,0.03
20,2,0.015,0.015,#080504,0.09
21,2,0.015,0.015,#080504,0.05
22,2,0.015,0.015,#080504,0.05
23,2,0.015,0.015,#080504,0.03
24,2,0.015,0.015,#080504,0.01
25,2,0.015,0.015,#080504,0.09
26,2,0.015,0.015,#080504,0.05
27,2,0.015,0.015,#080504,0.01
28,2,0.015,0.015,#080504,0.09
29,2,0.015,0.015,#080504,0.03
30,2,0.015,0.015,#080504,0.05
31,2,0.015,0.015,#080504,0.07
32,2,0.015,0.015,#080504,0.01
33,2,0.015,0.015,#080504,0.01
34,2,0.015,0.015,#080504,0.09
35,2,0.015,0.015,#080504,0.01
36,2,0.015,0.015,#080504,0.01
37,2,0.015,0.015,#080504,0.09
38,2,0.015,0.015,#080504,0.05
39,2,0.015,0.015,#080504,0.03
40,2,0.015,0.015,#080504,0.01
41,2,0.015,0.015,#080504,0.07
42,2,0.015,0.015,#080504,0.07
43,2,0.015,0.015,#080504,0.05
44,2,0.015,0.015,#080504,0.05
45,2,0.015,0.015,#080504,0.05
46,2,0.015,0.015,#080504,0.05
